[EXITO] Bandera: Paquete llegó a destino. Paquete: 221484601, Destino: OYSN, Tiempo restante: 213 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161221101, Destino: OERK, Tiempo restante: 275 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161221102, Destino: OERK, Tiempo restante: 275 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161221103, Destino: OERK, Tiempo restante: 275 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 221484801, Destino: OYSN, Tiempo restante: 223 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161221001, Destino: OERK, Tiempo restante: 856 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161221002, Destino: OERK, Tiempo restante: 435 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161221003, Destino: OERK, Tiempo restante: 270 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 261499701, Destino: SCEL, Tiempo restante: 415 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 99788301, Destino: LKPR, Tiempo restante: 1176 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 261499601, Destino: SCEL, Tiempo restante: 405 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 261499801, Destino: SCEL, Tiempo restante: 417 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256053501, Destino: SBBR, Tiempo restante: 2024 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256053502, Destino: SBBR, Tiempo restante: 2024 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256053503, Destino: SBBR, Tiempo restante: 584 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256053504, Destino: SBBR, Tiempo restante: 584 min
[DETENIDO] Bandera: Paquete no llegó a destino. Paquete: 161221701, Destino esperado: OERK, Último destino: LBSF, Tiempo restante: 968 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161221701, Destino: OERK, Tiempo restante: 380 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161221702, Destino: OERK, Tiempo restante: 905 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161221703, Destino: OERK, Tiempo restante: 484 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161221601, Destino: OERK, Tiempo restante: 480 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161221602, Destino: OERK, Tiempo restante: 901 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161221603, Destino: OERK, Tiempo restante: 315 min
